game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,X,all_critic_num,all_user_num_2,all_game_types,all_ratings,all_critic_positive,all_critic_mixed,all_critic_negative,all_user_positive,all_user_mixed,all_user_negative,global_sale_list
Red Faction: Guerrilla,2009-09-15,82,7.5,23,7954758,59164,1771,0,6234,29,309,Action,M,25,4,0,36,27,27,345859.043478261,192,29,309,Action,M,25,4,0,36,27,27,0.03
Dawn of Discovery,2009-06-17,82,8.8,20,1757404,16970,271,0,3675,32,132,Strategy,T,29,3,0,26,4,4,87870.2,193,32,133,Strategy,T,29,3,0,26,4,4,0.38
Football Manager Live,2009-01-23,82,3.1,34,580411,4073,103,0,1159,23,45,Sports,NA,21,2,0,3,0,0,17070.9117647059,195,23,45,Sports,NA,21,2,0,3,0,0,0.01
The Sims 3: World Adventures,2009-11-16,81,8,50,4035577,78392,1410,0,21607,31,72,Simulation,T,29,2,0,8,0,0,80711.54,197,31,72,Simulation,T,29,2,0,8,0,0,0.57
Borderlands,2009-10-26,81,7.8,45,2479551,16303,398,0,5244,37,1370,Action,M,34,3,0,207,71,71,55101.1333333333,199,37,1370,Action,M,34,3,0,207,71,71,0.18
Mirror's Edge,2009-01-12,81,8.1,50,938093,13291,184,0,2853,44,1037,Action,T,37,7,0,132,51,51,18761.86,201,44,1037,Action,T,37,7,0,132,51,51,0.06
The Chronicles of Riddick: Assault on Dark Athena,2009-04-07,80,8,24,874585,5577,234,0,1061,26,137,Action,M,21,5,0,16,5,5,36441.0416666667,204,26,137,Action,M,21,5,0,16,5,5,0.01
Trine,2009-09-11,80,8.2,37,13678591,70742,3606,0,22051,50,492,Action,E10+,43,7,0,62,23,23,369691.648648649,206,50,492,Action,E10+,43,7,0,62,23,23,0.01
Men of War,2009-03-16,80,8.1,50,5578652,80096,1429,0,16160,22,137,Strategy,M,18,4,0,30,9,9,111573.04,207,22,137,Strategy,M,18,4,0,30,9,9,0.03
Tropico 3,2009-10-20,79,8.2,48,419527,1270,56,0,435,48,186,Strategy,T,40,8,0,30,10,10,8740.14583333333,213,48,186,Strategy,T,40,8,0,30,10,10,0.04
Overlord II,2009-06-23,79,8.1,28,3595352,32422,788,0,2615,32,159,Action Adventure,T,28,4,0,22,6,6,128405.428571429,218,32,159,Action Adventure,T,28,4,0,22,6,6,0.03
F.E.A.R. 2: Project Origin,2009-02-10,79,7.8,45,215955,980,71,0,207,49,525,Action,M,39,10,0,54,35,35,4799,219,49,526,Action,M,39,10,0,54,35,35,0.08
Zuma's Revenge!,2009-09-15,78,7.9,28,385008,3279,47,0,420,17,35,Miscellaneous,E,13,4,0,2,4,4,13750.2857142857,221,17,35,Miscellaneous,E,13,4,0,2,4,4,0.01
Pro Evolution Soccer 2010,2009-10-23,78,6.9,49,156321,3093,68,0,2613,8,49,Sports,E,5,3,0,1,0,0,3190.22448979592,225,8,49,Sports,E,5,3,0,1,0,0,0.01
Call of Juarez: Bound in Blood,2009-06-30,78,8,18,3411278,19208,883,0,2228,39,283,Action,M,28,10,1,25,13,13,189515.444444444,226,39,283,Action,M,28,10,1,25,13,13,0.03
ArmA II,2009-06-26,77,7.5,50,697388,2570,96,0,726,38,590,Action,M,23,15,0,105,37,37,13947.76,229,38,590,Action,M,23,15,0,105,37,37,0.14
Hearts of Iron III,2009-08-11,77,7.1,38,7332765,189306,3894,0,75764,23,234,Strategy,E10+,18,5,0,31,11,11,192967.5,231,23,234,Strategy,E10+,18,5,0,31,11,11,0.08
The Void,2009-12-15,77,8.3,48,108632,754,33,0,273,12,97,Action Adventure,NA,8,4,0,19,3,3,2263.16666666667,232,12,97,Action Adventure,NA,8,4,0,19,3,3,0.03
Risen,2009-10-02,77,8.1,47,111164,2427,30,0,667,32,686,Role-Playing,M,21,11,0,85,25,25,2365.1914893617,234,32,686,Role-Playing,M,21,11,0,85,25,25,0.14
Men of War: Red Tide,2009-11-01,77,8.2,16,539512,665,220,0,77,10,33,Strategy,T,8,2,0,4,1,1,33719.5,236,10,33,Strategy,T,8,2,0,4,1,1,0
Peggle Nights,2009-03-26,76,8.1,47,24430563,126022,6327,0,15813,15,24,Miscellaneous,E,10,5,0,2,0,0,519799.212765957,238,15,24,Miscellaneous,E,10,5,0,2,0,0,0.02
Operation Flashpoint: Dragon Rising,2009-10-06,76,4.9,10,79551,414,14,0,235,29,539,Action,M,18,11,0,32,32,32,7955.1,239,29,539,Action,M,18,11,0,32,32,32,0.06
The Saboteur,2009-12-08,76,7.9,19,41019,213,17,0,65,20,239,Action Adventure,M,13,7,0,38,10,10,2158.89473684211,240,20,239,Action Adventure,M,13,7,0,38,10,10,0.06
Demigod,2009-04-14,76,7.9,7,6871,106,11,0,33,50,183,Strategy,T,31,19,0,46,10,10,981.571428571429,243,50,183,Strategy,T,31,19,0,46,10,10,0.02
BattleForge,2009-03-23,75,7,47,112941,1340,21,0,352,37,112,Strategy,T,24,13,0,15,2,2,2403,246,37,112,Strategy,T,24,13,0,15,2,2,0.01
Battlestations: Pacific,2009-05-12,74,8.4,35,920481,6633,114,0,1824,31,46,Strategy,T,19,12,0,10,1,1,26299.4571428571,249,31,46,Strategy,T,19,12,0,10,1,1,0.03
Wolfenstein,2009-08-18,74,7.3,41,51996,706,29,0,263,41,267,Action,M,25,16,0,43,21,21,1268.19512195122,251,41,267,Action,M,25,16,0,43,21,21,0.05
Mini Ninjas,2009-09-08,74,8.3,49,535510,3048,248,0,1259,14,78,Action Adventure,E10+,6,8,0,15,1,1,10928.7755102041,252,14,78,Action Adventure,E10+,6,8,0,15,1,1,0.02
RACE On,2009-10-05,73,8.2,27,7801032,6979,4131,0,441,14,20,Driving,E,8,6,0,1,0,0,288927.111111111,253,14,20,Driving,E,8,6,0,1,0,0,0.03
Sherlock Holmes vs. Jack the Ripper,2009-05-26,73,8.1,44,331518,6012,425,0,2158,26,43,Adventure,T,13,13,0,4,2,2,7534.5,254,26,43,Adventure,T,13,13,0,4,2,2,0.01
Ceville,2009-09-28,73,8.2,31,45254,616,11,0,406,17,21,Adventure,E,8,9,0,4,1,1,1459.8064516129,256,17,21,Adventure,E,8,9,0,4,1,1,0.02
Majesty 2: The Fantasy Kingdom Sim,2009-09-17,72,7.3,24,1285452,4029,162,0,555,31,129,Strategy,T,17,14,0,17,15,15,53560.5,258,31,129,Strategy,T,17,14,0,17,15,15,0.02
Grand Ages: Rome,2009-03-17,72,8,47,9324715,56257,2519,0,9443,18,40,Strategy,T,8,10,0,9,3,3,198398.191489362,260,18,40,Strategy,T,8,10,0,9,3,3,0
Section 8,2009-08-25,72,7,5,33242363,118108,11237,0,14786,31,78,Action,T,15,15,1,17,4,4,6648472.6,262,31,78,Action,T,15,15,1,17,4,4,0.04
Champions Online,2009-09-01,72,6.2,47,91575,1727,35,0,120,40,251,Role-Playing,T,21,18,1,42,20,20,1948.40425531915,263,40,251,Role-Playing,T,21,18,1,42,20,20,0.01
World in Conflict: Soviet Assault,2009-03-10,72,8.3,46,687939,10100,224,0,554,21,56,Strategy,T,11,9,1,13,2,2,14955.1956521739,264,21,56,Strategy,T,11,9,1,13,2,2,0
Saints Row 2,2009-01-05,72,6.8,36,6896738,86311,2112,0,19002,24,380,Action Adventure,M,10,14,0,52,23,23,191576.055555556,265,24,380,Action Adventure,M,10,14,0,52,23,23,0.04
Mass Effect 2,2010-01-26,94,8.8,34,113625,1279,30,0,430,55,3605,Role-Playing,M,54,1,0,405,97,97,3341.91176470588,267,55,3607,Role-Playing,M,54,1,0,405,97,97,0.39
World of Warcraft: Cataclysm,2010-12-07,90,5.5,11,4001,77,3,0,58,53,959,Role-Playing,T,53,0,0,56,64,64,363.727272727273,269,53,959,Role-Playing,T,53,0,0,56,64,64,2.09
Braid,2010-01-26,90,8.6,49,66903,2062,20,0,813,11,825,Action,E10+,11,0,0,121,15,15,1365.36734693878,270,11,827,Action,E10+,11,0,0,121,15,15,0.03
Sid Meier's Civilization V,2010-09-21,90,7.9,19,33585,412,12,0,61,70,2307,Strategy,E10+,66,4,0,251,113,113,1767.63157894737,271,70,2309,Strategy,E10+,66,4,0,251,113,113,1.69
BioShock 2,2010-02-09,88,8,6,24853,189,5,0,47,36,1260,Action,M,34,2,0,122,35,35,4142.16666666667,272,36,1260,Action,M,34,2,0,122,35,35,0.24
Battlefield: Bad Company 2,2010-03-02,87,8.3,24,31359,486,13,0,125,46,1477,Action,M,45,1,0,271,48,48,1306.625,273,46,1477,Action,M,45,1,0,271,48,48,0.72
Need for Speed: Hot Pursuit,2010-11-16,86,6.7,39,121457,1534,59,0,312,14,561,Driving,E10+,13,1,0,52,29,29,3114.28205128205,276,14,561,Driving,E10+,13,1,0,52,29,29,0.37
Assassin's Creed II,2010-03-09,86,6.9,23,10350,80,9,0,44,22,1631,Action Adventure,M,21,1,0,93,30,30,450,279,22,1631,Action Adventure,M,21,1,0,93,30,30,0.55
Football Manager 2011,2010-11-23,85,8.4,5,177869,1033,68,0,132,23,79,Sports,E,22,1,0,12,2,2,35573.8,280,23,79,Sports,E,22,1,0,12,2,2,1.26
Fallout: New Vegas,2010-10-19,84,8.6,49,415390,2527,95,0,611,39,2797,Role-Playing,M,36,3,0,400,85,85,8477.34693877551,282,39,2799,Role-Playing,M,36,3,0,400,85,85,1.17
Just Cause 2,2010-03-23,84,7.7,50,7614139,79368,3296,0,25346,33,844,Action Adventure,M,31,2,0,129,44,44,152282.78,283,33,844,Action Adventure,M,31,2,0,129,44,44,0.13
F1 2010,2010-09-21,84,6.6,50,68040,590,163,0,422,15,100,Driving,E,14,1,0,18,5,5,1360.8,284,15,100,Driving,E,14,1,0,18,5,5,0.05
FIFA Soccer 11,2010-09-28,83,7.7,49,3552861,16825,619,0,4335,16,102,Sports,E,13,3,0,18,1,1,72507.3673469388,286,16,102,Sports,E,13,3,0,18,1,1,0.18
Darksiders,2010-09-22,83,7.7,17,76918,1070,17,0,137,18,610,Action Adventure,M,18,0,0,100,21,21,4524.58823529412,288,18,610,Action Adventure,M,18,0,0,100,21,21,0.15
Age of Conan: Rise of the Godslayer,2010-05-11,83,8.4,46,2107403,26170,527,0,5109,14,52,Role-Playing,M,13,1,0,6,0,0,45813.1086956522,289,14,52,Role-Playing,M,13,1,0,6,0,0,0.03
Torchlight,2010-01-05,83,8,38,1107304,11540,497,0,2459,57,798,Role-Playing,T,50,7,0,164,42,42,29139.5789473684,290,57,798,Role-Playing,T,50,7,0,164,42,42,0.07
Tom Clancy's Splinter Cell: Conviction,2010-04-27,83,5.2,50,143153,1154,52,0,365,20,675,Action Adventure,M,16,4,0,39,24,24,2863.06,291,20,675,Action Adventure,M,16,4,0,39,24,24,0.11
Bejeweled 3,2010-12-07,82,8.1,48,1615778,14878,337,0,3294,27,88,Miscellaneous,E,25,2,0,10,1,1,33662.0416666667,292,27,88,Miscellaneous,E,25,2,0,10,1,1,0.09
King's Bounty: Armored Princess,2010-09-10,82,8.6,49,6670365,62598,1530,0,11243,25,161,Role-Playing,T,23,2,0,11,5,5,136129.897959184,297,25,161,Role-Playing,T,23,2,0,11,5,5,0.01
Metro 2033,2010-03-16,81,8.1,49,2723069,59684,1551,0,12588,40,1478,Action,M,34,6,0,212,71,71,55572.8367346939,300,40,1479,Action,M,34,6,0,212,71,71,0.24
Blur,2010-05-25,81,7.4,48,616195,14331,273,0,1547,24,178,Driving,E10+,21,3,0,24,8,8,12837.3958333333,301,24,178,Driving,E10+,21,3,0,24,8,8,0.06
Napoleon: Total War,2010-02-23,81,7.9,21,502094,4814,79,0,904,56,518,Strategy,T,49,6,1,35,11,11,23909.2380952381,303,56,518,Strategy,T,49,6,1,35,11,11,0.67
Call of Duty: Black Ops,2010-11-09,81,5.2,7,673368,24195,426,0,4536,29,1660,Action,M,20,9,0,143,96,96,96195.4285714286,304,29,1660,Action,M,20,9,0,143,96,96,1.63
S.T.A.L.K.E.R.: Call of Pripyat,2010-02-02,80,8.7,35,68298,587,26,0,158,44,613,Action,M,36,8,0,63,13,13,1951.37142857143,307,44,613,Action,M,36,8,0,63,13,13,0.06
Revenge of the Titans,2010-05-24,79,7.6,36,83864,693,17,0,292,11,81,Strategy,NA,10,1,0,10,10,10,2329.55555555556,308,11,81,Strategy,NA,10,1,0,10,10,10,0
Worms Reloaded,2010-08-26,79,6.8,43,585659,4547,283,0,939,28,185,Strategy,E10+,24,4,0,19,14,14,13619.976744186,310,28,186,Strategy,E10+,24,4,0,19,14,14,0.05
Split/Second,2010-05-18,79,8.2,48,659375,3966,198,0,799,18,116,Driving,E10+,16,2,0,8,1,1,13736.9791666667,312,18,116,Driving,E10+,16,2,0,8,1,1,0.04
The Settlers 7: Paths to a Kingdom,2010-03-23,79,5.2,48,86793,616,58,0,252,33,214,Strategy,E10+,28,5,0,15,8,8,1808.1875,315,33,214,Strategy,E10+,28,5,0,15,8,8,0.31
LEGO Harry Potter: Years 1-4,2010-06-29,79,7.9,44,136631,828,22,0,274,15,62,Action Adventure,E10+,12,3,0,2,1,1,3105.25,316,15,62,Action Adventure,E10+,12,3,0,2,1,1,0.04
Dead Rising 2,2010-09-27,78,6.3,42,1027175,7204,210,0,2514,17,213,Action Adventure,M,14,3,0,26,13,13,24456.5476190476,317,17,213,Action Adventure,M,14,3,0,26,13,13,0.14
Mount & Blade: Warband,2010-03-30,78,8.7,40,291445,9575,109,0,811,23,766,Role-Playing,T,18,5,0,162,19,19,7286.125,318,23,768,Role-Playing,T,18,5,0,162,19,19,0.02
Dawn of Discovery: Venice,2010-02-26,78,8.3,1,134899,12809,117,0,1370,16,15,Simulation,T,11,5,0,1,0,0,134899,320,16,15,Simulation,T,11,5,0,1,0,0,0.01
Mafia II,2010-08-23,77,7.9,49,2506915,15054,294,0,5070,46,1261,Action Adventure,M,35,9,2,122,68,68,51161.5306122449,321,46,1264,Action Adventure,M,35,9,2,122,68,68,0.4
Supreme Commander 2,2010-03-02,77,6.2,9,3789,66,2,0,35,54,804,Strategy,E10+,37,16,1,45,14,14,421,324,54,804,Strategy,E10+,37,16,1,45,14,14,0.19
R.U.S.E.,2010-09-07,76,8.1,41,50853,1539,50,0,341,33,177,Strategy,T,21,12,0,48,7,7,1240.31707317073,328,33,177,Strategy,T,21,12,0,48,7,7,0.27
Greed Corp,2010-12-10,76,7.1,26,146019,2131,63,0,409,7,44,Strategy,E,5,2,0,9,8,8,5616.11538461538,330,7,44,Strategy,E,5,2,0,9,8,8,0.01
Victoria II,2010-08-13,75,8.2,46,152207,883,45,0,187,17,135,Strategy,T,10,7,0,20,7,7,3308.84782608696,333,17,136,Strategy,T,10,7,0,20,7,7,0
FIFA Manager 11,2010-11-03,75,5.5,50,10290704,52232,5021,0,5369,9,23,Sports,E,7,2,0,1,0,0,205814.08,334,9,23,Sports,E,7,2,0,1,0,0,0
Prince of Persia: The Forgotten Sands,2010-06-08,75,6.6,50,1136217,10495,391,0,2904,16,221,Action Adventure,T,9,7,0,15,9,9,22724.34,335,16,221,Action Adventure,T,9,7,0,15,9,9,0.03
The Sims 3: Late Night Expansion Pack,2010-10-26,74,5.3,35,52456,644,46,0,164,17,78,Simulation,T,10,7,0,8,4,4,1498.74285714286,341,17,78,Simulation,T,10,7,0,8,4,4,1.7
The Sims 3: Ambitions,2010-06-01,74,7.3,40,247865,2541,120,0,1240,25,51,Simulation,T,15,9,1,5,2,2,6196.625,342,25,51,Simulation,T,15,9,1,5,2,2,0.46
Blood Bowl: Legendary Edition,2010-10-28,73,6.4,23,93054,1095,66,0,308,13,75,Sports,T,7,6,0,11,11,11,4045.82608695652,345,13,75,Sports,T,7,6,0,11,11,11,0.02
Alpha Protocol,2010-06-01,72,7.5,23,134120,1251,46,0,321,25,511,Role-Playing,M,11,13,1,91,35,35,5831.30434782609,346,25,511,Role-Playing,M,11,13,1,91,35,35,0.03
Medal of Honor,2010-10-12,72,6.4,26,70259,1045,26,0,412,26,518,Action,M,16,9,1,63,48,48,2702.26923076923,347,26,518,Action,M,16,9,1,63,48,48,0.49
Blood Bowl,2010-01-26,72,6.5,10,8410,81,1,0,24,34,57,Sports,T,14,20,0,15,3,3,841,348,34,57,Sports,T,14,20,0,15,3,3,0.05
Divinity II: Ego Draconis,2010-01-06,72,7.7,49,539183,2737,251,0,694,43,126,Role-Playing,M,21,22,0,21,4,4,11003.7346938776,349,43,126,Role-Playing,M,21,22,0,21,4,4,0.07
The Whispered World,2010-04-26,70,7.6,4,3371164,24337,1103,0,3406,41,78,Adventure,E,18,23,0,3,2,2,842791,360,41,78,Adventure,E,18,23,0,3,2,2,0.1
Portal 2,2011-04-18,95,8.8,32,49983,762,16,0,132,52,6054,Action,E10+,51,1,0,NA,117,117,1561.96875,361,52,6059,Action,E10+,51,1,0,NA,118,118,0.76
The Elder Scrolls V: Skyrim,2011-11-10,94,8.1,12,115202,2086,39,0,611,32,9175,Role-Playing,M,32,0,0,NA,311,311,9600.16666666667,362,32,9178,Role-Playing,M,32,0,0,NA,311,311,3.95
Batman: Arkham City,2011-11-21,91,8.6,29,1745050,50622,459,0,14050,27,1868,Action Adventure,T,27,0,0,228,33,33,60174.1379310345,363,27,1871,Action Adventure,T,27,0,0,228,33,33,0.53
Deus Ex: Human Revolution,2011-08-23,90,8.5,48,81477051,73404,22718,0,8408,52,3090,Action,M,52,0,0,514,113,113,1697438.5625,364,52,3091,Action,M,52,0,0,514,113,113,0.59
Total War: Shogun 2,2011-03-15,90,8.3,50,8952967,94900,1844,0,21094,62,1188,Strategy,T,62,0,0,190,43,43,179059.34,365,62,1188,Strategy,T,62,0,0,190,43,43,0.61
Battlefield 3,2011-10-25,89,7.5,29,95359,2148,54,0,584,61,4947,Action,M,60,1,0,NA,192,192,3288.24137931034,367,61,4950,Action,M,60,1,0,NA,192,192,2.78
LIMBO,2011-08-02,88,8.1,49,1196927,8329,208,0,2777,22,1413,Action,T,22,0,0,171,56,56,24427.0816326531,368,22,1414,Action,T,22,0,0,171,56,56,0
Assassin's Creed: Brotherhood,2011-03-22,88,8.2,49,131749,2799,64,0,563,24,1118,Action Adventure,M,24,0,0,93,33,33,2688.75510204082,369,24,1119,Action Adventure,M,24,0,0,93,33,33,0.6
The Witcher 2: Assassins of Kings,2011-05-17,88,8.5,41,143164,1220,30,0,349,76,4420,Role-Playing,M,70,6,0,NA,121,121,3491.80487804878,370,76,4424,Role-Playing,M,70,6,0,NA,121,121,0.97
Super Meat Boy,2011-04-05,87,8.3,18,145202,1358,14,0,361,11,755,Action,T,11,0,0,120,14,14,8066.77777777778,371,11,756,Action,T,11,0,0,120,14,14,0
Dead Space 2,2011-01-25,87,8.3,19,3722,92,4,0,32,28,984,Action,M,27,1,0,122,29,29,195.894736842105,372,28,984,Action,M,27,1,0,122,29,29,0.32
Crysis 2,2011-03-22,86,6.8,10,1669,24,2,0,16,42,1603,Action,M,39,3,0,199,116,116,166.9,374,42,1603,Action,M,39,3,0,199,116,116,0.74
DiRT 3,2011-05-24,86,7,50,141214452,281022,25271,0,93294,23,440,Driving,T,21,2,0,43,29,29,2824289.04,375,23,440,Driving,T,21,2,0,43,29,29,0.15
Star Wars: The Old Republic,2011-12-20,85,5.9,14,221965,1826,164,0,672,73,2757,Massively Multiplayer,T,68,5,0,700,217,217,15854.6428571429,379,73,2757,Massively Multiplayer,T,68,5,0,700,217,217,2.97
Saints Row: The Third,2011-11-14,84,8.1,28,165534,2108,66,0,486,22,1272,Action Adventure,M,20,2,0,209,63,63,5911.92857142857,380,22,1272,Action Adventure,M,20,2,0,209,63,63,0.39
Football Manager 2012,2011-10-20,84,8,44,3336324,52194,805,0,15580,45,174,Sports,E,43,2,0,22,5,5,75825.5454545455,383,45,175,Sports,E,43,2,0,22,5,5,1.51
The Binding of Isaac,2011-09-28,84,8.3,49,16289110,71884,3318,0,17016,30,1015,Action,NA,28,2,0,196,36,36,332430.816326531,385,30,1015,Action,NA,28,2,0,196,36,36,0.03
Trine 2,2011-12-07,84,8.4,48,2773995,17749,299,0,3708,55,670,Action,E10+,51,4,0,80,16,16,57791.5625,386,55,670,Action,E10+,51,4,0,80,16,16,0.04
Anno 2070,2011-11-17,83,7,45,3776198,35167,1222,0,7272,33,496,Strategy,T,29,4,0,70,27,27,83915.5111111111,389,33,497,Strategy,T,29,4,0,70,27,27,1.43
Terraria,2011-05-16,83,8.5,50,6876497,65430,1611,0,11511,29,1628,Action,T,25,4,0,468,54,54,137529.94,391,29,1629,Action,T,25,4,0,468,54,54,0.15
L.A. Noire: The Complete Edition,2011-11-08,83,7.9,46,2304401,22364,419,0,3449,28,917,Adventure,M,23,5,0,99,49,49,50095.6739130435,392,28,919,Adventure,M,23,5,0,99,49,49,0.26
F1 2011,2011-09-19,83,7.2,48,2099857,24883,609,0,4825,10,84,Driving,E,8,2,0,10,3,3,43747.0208333333,393,10,84,Driving,E,8,2,0,10,3,3,0.19
The Book of Unwritten Tales,2011-10-28,82,8.2,50,921826,12963,258,0,3870,32,144,Adventure,T,28,4,0,32,4,4,18436.52,394,32,144,Adventure,T,28,4,0,32,4,4,0.1
Dragon Age II,2011-03-08,82,4.5,41,1391645,9957,279,0,2503,45,4549,Role-Playing,M,38,7,0,392,284,284,33942.5609756098,396,45,4549,Role-Playing,M,38,7,0,392,284,284,0.63
Dungeon Defenders,2011-10-18,81,7.3,50,5067364,42040,1377,0,11983,26,401,Role-Playing,E10+,21,5,0,83,27,27,101347.28,402,26,401,Role-Playing,E10+,21,5,0,83,27,27,0.02
Dead Island,2011-09-05,80,6.8,36,2332183,6675,711,0,1517,24,1435,Action Adventure,M,18,6,0,196,97,97,64782.8611111111,404,24,1435,Action Adventure,M,18,6,0,196,97,97,0.22
Assassin's Creed: Revelations,2011-11-29,80,7.4,38,993213,4261,225,0,726,20,785,Action Adventure,M,15,5,0,51,48,48,26137.1842105263,405,20,785,Action Adventure,M,15,5,0,51,48,48,0.75
World of Tanks,2011-09-06,80,3.7,42,520745,5543,219,0,2890,38,1478,First-Person,T,29,9,0,99,45,45,12398.6904761905,406,38,1478,First-Person,T,29,9,0,99,45,45,0.29
Driver: San Francisco,2011-09-27,80,7,32,1336222,9873,254,0,3045,11,335,Driving,T,10,1,0,34,12,12,41756.9375,409,11,335,Driving,T,10,1,0,34,12,12,0.19
Runaway: A Twist of Fate,2011-04-21,79,8.2,50,763855,4659,151,0,1017,15,40,Adventure,T,13,2,0,4,2,2,15277.1,411,15,40,Adventure,T,13,2,0,4,2,2,0.04
Rage,2011-10-03,79,5.2,22,2813325,74965,1037,0,13832,32,1622,Action,M,24,7,1,209,139,139,127878.409090909,414,32,1622,Action,M,24,7,1,209,139,139,0.37
Call of Duty: Modern Warfare 3,2011-11-08,78,2.5,41,271406,6585,130,0,1971,26,5670,Action,M,19,7,0,381,170,170,6619.65853658537,417,26,5670,Action,M,19,7,0,381,170,170,1.72
Tropico 4,2011-08-30,78,7.7,31,371760,2709,58,0,457,46,359,Strategy,T,32,14,0,44,24,24,11992.2580645161,418,46,359,Strategy,T,32,14,0,44,24,24,0.27
Sonic Generations,2011-11-03,77,8.3,26,156852,2571,150,0,672,11,337,Action,E,8,3,0,89,17,17,6032.76923076923,419,11,337,Action,E,8,3,0,89,17,17,0.11
Men of War: Assault Squad,2011-06-14,77,8.2,21,69343,1678,31,0,246,21,94,Strategy,T,13,8,0,21,5,5,3302.04761904762,420,21,94,Strategy,T,13,8,0,21,5,5,0.06
Pro Evolution Soccer 2012,2011-09-27,77,6.4,25,26397,347,13,0,151,13,89,Sports,NA,8,5,0,9,2,2,1055.88,423,13,89,Sports,NA,8,5,0,9,2,2,0.09
From Dust,2011-08-17,76,4.9,45,186913,3149,104,0,762,15,366,Strategy,E10+,10,5,0,42,40,40,4153.62222222222,427,15,366,Strategy,E10+,10,5,0,42,40,40,0
LEGO Star Wars III: The Clone Wars,2011-03-22,76,7.5,45,5863877,96376,3813,0,13656,14,44,Action Adventure,E10+,10,4,0,4,1,1,130308.377777778,429,14,44,Action Adventure,E10+,10,4,0,4,1,1,0.25
Red Orchestra 2: Heroes of Stalingrad,2011-09-13,76,7.3,50,737370,11111,141,0,2197,49,732,Action,M,31,17,1,173,51,51,14747.4,430,49,732,Action,M,31,17,1,173,51,51,0.14
Two Worlds II,2011-02-03,76,6.5,11,303,7,0,0,5,31,316,Role-Playing,M,19,12,0,32,35,35,27.5454545454545,433,31,316,Role-Playing,M,19,12,0,32,35,35,0.2
Red Faction: Armageddon,2011-06-07,75,6.7,50,287662,4295,91,0,1551,29,276,Action,M,18,11,0,43,30,30,5753.24,436,29,276,Action,M,18,11,0,43,30,30,0.09
Fable III,2011-05-17,75,5.4,40,58816,561,32,0,229,39,559,Role-Playing,M,23,16,0,33,37,37,1470.4,439,39,559,Role-Playing,M,23,16,0,33,37,37,0.32
Alice: Madness Returns,2011-06-14,75,8.4,40,2638857,17254,545,0,4827,29,566,Action Adventure,M,17,12,0,105,26,26,65971.425,440,29,566,Action Adventure,M,17,12,0,105,26,26,0.12
F.E.A.R. 3,2011-06-21,74,5.9,50,7814937,112156,4721,0,37147,34,423,First-Person Shooters,M,20,14,0,31,46,46,156298.74,445,34,423,First-Person Shooters,M,20,14,0,31,46,46,0.15
LEGO Pirates of the Caribbean: The Video Game,2011-05-24,73,6.6,47,194852,3828,134,0,430,11,17,Action Adventure,E10+,NA,NA,NA,NA,NA,NA,4145.78723404255,448,11,17,Action Adventure,E10+,NA,NA,NA,NA,NA,NA,0.04
Serious Sam 3: BFE,2011-11-22,72,8.2,48,12270168,42674,3510,0,9068,53,590,Action,NA,27,26,0,165,26,26,255628.5,452,53,590,Action,NA,27,26,0,165,26,26,0.08
DC Universe Online,2011-01-11,72,6.8,11,5964781,258296,3433,0,42649,27,243,Role-Playing,T,13,13,1,53,20,20,542252.818181818,454,27,243,Role-Playing,T,13,13,1,53,20,20,0.23
Dishonored,2012-10-08,91,8.4,25,598377,4730,119,0,1287,29,3453,Action Adventure,M,29,0,0,436,126,126,23935.08,455,29,3458,Action Adventure,M,29,0,0,437,126,126,0.52
Guild Wars 2,2012-08-28,90,7.9,23,12883,177,7,0,77,69,2964,Role-Playing,T,68,1,0,648,142,142,560.130434782609,457,69,2964,Role-Playing,T,68,1,0,648,142,142,2.37
Borderlands 2,2012-09-17,89,8.2,50,1538176,9714,534,0,3219,38,2501,Action,M,37,1,0,377,84,84,30763.52,460,38,2502,Action,M,37,1,0,377,84,84,0.93
XCOM: Enemy Unknown,2012-10-09,89,8.2,50,140829,2329,30,0,460,57,2244,Strategy,M,56,1,0,356,120,120,2816.58,461,57,2245,Strategy,M,56,1,0,356,120,120,0.72
Mass Effect 3,2012-03-06,89,5.5,40,689443,11188,181,0,2886,23,5960,Role-Playing,M,23,0,0,703,316,316,17236.075,462,23,5962,Role-Playing,M,23,0,0,703,316,316,0.97
Far Cry 3,2012-12-04,88,8.2,48,1321284,20582,264,0,2944,43,3214,Action,M,42,1,0,433,111,111,27526.75,463,43,3218,Action,M,42,1,0,433,111,111,0.97
Torchlight II,2012-09-20,88,8.6,25,115144,515,22,0,76,67,1894,Role-Playing,NA,66,1,0,424,52,52,4605.76,464,67,1894,Role-Playing,NA,66,1,0,424,52,52,0
Diablo III,2012-05-15,88,4,45,3160388,16168,710,0,3282,86,9649,Role-Playing,M,81,4,1,NA,511,511,70230.8444444444,466,86,9650,Role-Playing,M,81,4,1,NA,511,511,5.19
Max Payne 3,2012-05-31,87,7.6,19,525618,2561,150,0,423,30,2219,Action,M,28,2,0,269,105,105,27664.1052631579,467,30,2221,Action,M,28,2,0,269,105,105,0.44
