game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views
The Walking Dead: Season Two Episode 2 - A House Divided,2014-03-04,81,8.5,50,154395,1922,25,0,695,40,347,Action,M,31,9,0,37,10,10,3087.9
Sid Meier's Civilization: Beyond Earth,2014-10-24,81,5.5,50,4015939,42420,994,0,11026,78,1032,Strategy,E10+,65,12,1,74,112,112,80318.78
Wasteland 2,2014-09-19,81,7.3,49,134611,1598,29,0,280,65,1173,Role-Playing,M,53,12,0,171,55,55,2747.16326530612
Shadowrun: Dragonfall,2014-02-27,81,8.3,44,2066624,21065,500,0,2949,24,228,Role-Playing,NA,20,4,0,32,7,7,46968.7272727273
Europa Universalis IV: Conquest of Paradise,2014-01-14,81,7.7,50,3377332,72972,1538,0,24508,8,52,Strategy,NA,5,3,0,2,5,5,67546.64
Company of Heroes 2: The Western Front Armies,2014-06-23,80,6.8,41,78623,2218,68,0,316,29,112,Strategy,M,26,3,0,19,3,3,1917.63414634146
Metal Gear Solid V: Ground Zeroes,2014-12-18,80,7.6,18,252726,8493,57,0,1008,20,417,Action Adventure,M,18,2,0,39,9,9,14040.3333333333
Trials Fusion,2014-04-16,80,6.8,49,2914743,64216,1170,0,13349,12,96,Driving,E10+,11,1,0,4,4,4,59484.5510204082
The Banner Saga,2014-01-14,80,7.9,49,246254,3093,120,0,924,74,670,Role-Playing,T,59,15,0,85,41,41,5025.59183673469
Elite: Dangerous,2014-12-16,80,6.4,46,1383030,18084,515,0,2620,54,1757,Sci-Fi,T,46,8,0,524,85,85,30065.8695652174
Icewind Dale: Enhanced Edition,2014-10-30,80,7.2,49,30692,470,9,0,174,13,105,Role-Playing,NA,11,2,0,13,2,2,626.367346938776
Far Cry 4,2014-11-18,80,6.7,50,134503,3744,64,0,620,17,1085,Action,M,15,2,0,119,70,70,2690.06
Super Time Force Ultra,2014-08-25,80,6.5,49,8919197,52753,1635,0,14217,9,42,Action,NA,8,1,0,6,0,0,182024.428571429
Luftrausers,2014-03-18,80,6.8,47,381719,5024,80,0,673,45,87,Action,E,35,10,0,5,7,7,8121.68085106383
Age of Wonders III,2014-03-31,80,7.8,12,33041,413,5,0,88,35,556,Strategy,T,29,6,0,91,21,21,2753.41666666667
Football Manager 2015,2014-11-07,80,6.1,25,1009091,6702,90,0,1555,36,153,Sports,NA,28,8,0,10,11,11,40363.64
BioShock Infinite: Burial at Sea - Episode Two,2014-03-25,80,8.4,29,1041990,33948,555,0,4508,34,480,Action,M,25,8,1,43,10,10,35930.6896551724
ArcheAge,2014-09-16,80,3.6,24,191612,3498,76,0,445,11,748,Role-Playing,M,9,2,0,102,33,33,7983.83333333333
Dungeon of the Endless,2014-10-27,79,8,40,82159,1996,40,0,534,29,160,Strategy,NA,22,7,0,22,6,6,2053.975
Valiant Hearts: The Great War,2014-06-25,79,8.5,50,228272,7240,102,0,1109,28,540,Action,T,21,7,0,63,11,11,4565.44
Geometry Wars 3: Dimensions,2014-11-25,79,6.2,40,9129043,149436,4810,0,13146,9,35,Action,E,7,2,0,2,1,1,228226.075
Resident Evil 4: Ultimate HD Edition,2014-02-27,79,7.8,15,38618,649,39,0,151,33,247,Action Adventure,M,25,8,0,16,11,11,2574.53333333333
The Last Door,2014-05-20,79,7.5,50,379032,13856,112,0,2039,10,32,Adventure,NA,8,2,0,5,1,1,7580.64
The Journey Down: Chapter Two,2014-08-25,78,7.1,47,393429,4753,109,0,685,11,18,Adventure,NA,9,2,0,1,0,0,8370.82978723404
DeadCore,2014-10-17,78,6.8,49,1007590,25965,358,0,3083,11,37,Action,T,9,2,0,9,2,2,20563.0612244898
Call of Duty: Advanced Warfare,2014-11-03,78,4.5,13,96250,717,32,0,236,18,1138,Action,M,15,2,1,77,41,41,7403.84615384615
LISA,2014-12-15,78,8.6,15,325842,1845,161,0,545,7,56,Action,M,5,2,0,8,2,2,21722.8
OlliOlli,2014-07-22,78,6.7,31,181469,1728,105,0,611,12,26,Sports,E,8,4,0,2,2,2,5853.83870967742
Strider,2014-02-19,78,7.4,50,830150,5300,174,0,1096,10,96,Action Adventure,E10+,6,4,0,12,4,4,16603
So Many Me,2014-07-17,78,7,9,30331,633,3,0,122,7,21,Miscellaneous,RP,6,1,0,6,0,0,3370.11111111111
GRID Autosport,2014-06-26,78,6.2,46,152684,4509,61,0,647,35,258,Driving,E,24,11,0,24,14,14,3319.21739130435
The Walking Dead: Season Two Episode 4 - Amid the Ruins,2014-07-22,78,8,50,318214,7387,172,0,1387,39,231,Action,M,28,11,0,14,5,5,6364.28
Plants vs Zombies: Garden Warfare,2014-06-24,78,7.8,35,945517,8755,379,0,2413,11,188,Action,E10+,9,2,0,20,9,9,27014.7714285714
Wargame: Red Dragon,2014-04-17,78,8,49,246512,7181,226,0,1338,19,172,Strategy,NA,15,3,1,27,5,5,5030.85714285714
Joe Dever's Lone Wolf HD Remastered,2014-11-27,78,6.8,50,1373240,28069,763,0,3686,13,18,Adventure,NA,11,2,0,3,1,1,27464.8
Five Nights at Freddy's,2014-08-19,78,7,48,296289,3105,196,0,704,8,393,Action Adventure,NA,5,3,0,73,27,27,6172.6875
Sherlock Holmes: Crimes & Punishments,2014-09-30,77,7.7,50,5799408,131863,1835,0,13359,32,191,Adventure,M,20,12,0,18,6,6,115988.16
Mini Metro,2014-08-11,77,8,47,1020487,10912,317,0,2341,8,42,Strategy,NA,6,2,0,7,1,1,21712.4893617021
The Incredible Adventures of Van Helsing II,2014-05-22,77,7.6,14,510192,3496,74,0,1050,36,228,Role-Playing,T,24,12,0,25,13,13,36442.2857142857
Child of Light,2014-04-30,77,8.1,45,238904,2031,86,0,341,16,483,Action,E10+,11,5,0,58,19,19,5308.97777777778
Grand Theft Auto V,2015-04-14,96,7.9,50,214903,7014,38,0,665,57,3875,Modern,M,56,1,0,359,92,92,4298.06
The Witcher 3: Wild Hunt,2015-05-18,93,9.3,46,340470,2391,51,0,838,32,10831,Role-Playing,M,32,0,0,954,78,78,7401.52173913043
Undertale,2015-09-15,92,7.9,47,2376709,24530,1084,0,6112,43,3412,Role-Playing,NA,40,3,0,684,62,62,50568.2765957447
Metal Gear Solid V: The Phantom Pain,2015-09-01,91,7.7,50,5647408,204263,2525,0,20465,13,2002,Action Adventure,M,13,0,0,128,60,60,112948.16
The Witcher 3: Wild Hunt - Hearts of Stone,2015-10-13,89,8.9,47,281247,3120,61,0,409,37,1886,Role-Playing,M,36,1,0,81,1,1,5983.97872340426
Pillars of Eternity,2015-03-26,89,8.3,44,324666,3083,130,0,1736,71,2213,Role-Playing,M,70,1,0,315,77,77,7378.77272727273
Nuclear Throne,2015-12-05,88,7.6,48,1581083,8803,119,0,1369,14,157,Action,NA,14,0,0,18,8,8,32939.2291666667
Kerbal Space Program,2015-04-27,88,8.2,49,7546710,97958,2331,0,11590,24,511,Sci-Fi,NA,24,0,0,88,4,4,154014.489795918
Starcraft II: Legacy of the Void,2015-11-10,88,8.3,49,145342,4622,134,0,558,62,839,Real-Time Strategy,T,61,1,0,104,18,18,2966.16326530612
Ori and the Blind Forest,2015-03-11,88,8.7,29,50276,1002,48,0,193,12,920,Action,E,12,0,0,115,13,13,1733.65517241379
Oddworld: Abe's Oddysee - New 'n' Tasty,2015-02-25,87,7.8,44,532809,5998,162,0,1215,12,143,Action,T,12,0,0,9,2,2,12109.2954545455
Crypt of the NecroDancer,2015-04-23,87,7.7,45,577203,14091,363,0,4154,45,154,Action,NA,43,2,0,16,3,3,12826.7333333333
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015-10-20,86,8.7,48,3257119,83179,691,0,11460,32,286,Adventure,NA,30,2,0,21,1,1,67856.6458333333
Final Fantasy XIV: Heavensward,2015-06-23,86,7.7,36,578970,2123,219,0,1092,14,255,Massively Multiplayer Online,T,14,0,0,26,2,2,16082.5
Her Story,2015-06-24,86,5.8,48,87443,2207,38,0,340,49,335,Adventure,NA,46,2,1,21,14,14,1821.72916666667
Homeworld Remastered Collection,2015-02-25,86,8.2,50,4639451,128514,1554,0,46400,49,327,Miscellaneous,E10+,48,1,0,38,8,8,92789.02
Heroes of the Storm,2015-06-02,86,6.6,50,247390,6090,217,0,826,57,1073,Action,T,54,3,0,127,59,59,4947.8
DiRT Rally,2015-12-07,86,8.7,49,3203060,29995,1092,0,6160,33,293,Racing,E,33,0,0,38,5,5,65368.5714285714
Rocket League,2015-07-05,86,8.2,45,1740095,18813,307,0,3514,20,604,Sports,E,17,3,0,90,6,6,38668.7777777778
Cities: Skylines,2015-03-10,85,8.9,21,277410,3311,54,0,735,60,1419,City Building,E,58,2,0,211,24,24,13210
Tales from the Borderlands: A Telltale Game Series,2015-10-20,85,8.5,20,174709,2101,249,0,1004,19,353,Adventure,M,18,1,0,36,1,1,8735.45
The Binding of Isaac: Afterbirth,2015-10-30,85,8.1,27,80079,1409,62,0,247,10,231,Action,M,9,1,0,16,3,3,2965.88888888889
Chaos Reborn,2015-10-26,85,8.3,11,90759,2194,259,0,1039,10,51,Fantasy,NA,10,0,0,23,5,5,8250.81818181818
System Shock: Enhanced Edition,2015-09-22,85,8.1,48,20242807,418219,8590,0,61290,9,29,Action Adventure,NA,8,1,0,3,1,1,421725.145833333
80 Days (2015),2015-09-29,84,6.5,36,2680563,15690,348,0,1853,8,15,Adventure,NA,7,1,0,1,0,0,74460.0833333333
Hearthstone: The Grand Tournament,2015-08-24,84,4.1,32,65284,1406,35,0,198,8,122,Strategy,NA,8,0,0,5,5,5,2040.125
SOMA,2015-09-22,84,8.3,41,144945,1028,20,0,342,68,795,Action Adventure,M,63,4,1,105,13,13,3535.24390243902
Grim Fandango Remastered,2015-01-27,84,8,5,25964,112,26,0,36,38,278,Adventure,NA,34,4,0,26,10,10,5192.8
Fallout 4,2015-11-09,84,5.4,24,71270,1795,34,0,431,38,7591,General,M,30,8,0,829,393,393,2969.58333333333
Life is Strange,2015-10-20,83,8.6,50,5415166,65481,3779,0,34086,15,1679,Action Adventure,M,13,2,0,182,17,17,108303.32
Project CARS,2015-05-06,83,7,42,5539418,61485,1008,0,8759,48,422,Driving,E,42,6,0,57,17,17,131890.904761905
Helldivers,2015-12-07,83,6.8,50,23590636,110013,6071,0,20732,14,66,Action,T,13,1,0,7,0,0,471812.72
Life is Strange: Episode 5 - Polarized,2015-10-20,83,8.4,44,103257,1955,38,0,502,8,314,Action Adventure,M,7,1,0,22,12,12,2346.75
BROFORCE,2015-10-15,83,8,9,5575,124,2,0,37,32,181,Action,NA,30,2,0,21,3,3,619.444444444444
"Invisible, Inc.",2015-05-12,82,7.9,40,11035855,141505,5341,0,50594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275896.375
Hearthstone: Blackrock Mountain,2015-04-02,82,6.1,50,2976737,43077,1114,0,4430,9,48,Strategy,NA,8,1,0,2,1,1,59534.74
Hacknet,2015-08-12,82,7.6,21,5618422,75986,3314,0,35254,7,32,Miscellaneous,NA,6,1,0,2,4,4,267543.904761905
King's Quest Chapter 1: A Knight to Remember,2015-07-28,82,7.2,49,250869,1449,112,0,190,23,92,Adventure,E10+,19,4,0,15,3,3,5119.77551020408
Technobabylon,2015-05-21,82,7.8,30,74341,1988,41,0,650,26,56,Adventure,NA,24,2,0,8,2,2,2478.03333333333
Resident Evil HD Remaster,2015-01-20,82,8.2,49,1653419,23340,398,0,2509,29,247,Action Adventure,M,24,5,0,27,4,4,33743.2448979592
OlliOlli2: Welcome to Olliwood,2015-08-11,82,5.4,48,2024435,17226,330,0,3363,16,32,Sports,NA,15,0,1,4,0,0,42175.7291666667
Shadowrun: Hong Kong,2015-08-20,81,7.7,36,1717011,15283,168,0,1975,28,176,Role-Playing,NA,25,3,0,17,8,8,47694.75
Football Manager 2016,2015-11-13,81,7,49,8341627,169563,3227,0,114208,34,99,Sports,E,30,4,0,9,5,5,170237.285714286
Downwell,2015-10-15,81,6.2,50,9909561,132358,6314,0,32781,20,89,Action,NA,16,4,0,4,0,0,198191.22
Tales From The Borderlands: Episode 3 - Catch A Ride,2015-06-23,81,8.4,28,2414644,23015,268,0,2372,24,124,Adventure,M,18,6,0,11,0,0,86237.2857142857
Guild Wars 2: Heart of Thorns,2015-10-23,81,7.2,38,419440,2741,64,0,474,22,912,Role-Playing,T,19,3,0,317,29,29,11037.8947368421
The Age of Decadence,2015-10-15,81,7.9,49,154436,4581,91,0,1454,17,182,Role-Playing,NA,13,4,0,31,5,5,3151.75510204082
Galactic Civilizations III,2015-05-14,81,6.5,45,149790,4027,85,0,1138,31,200,Strategy,NA,25,6,0,19,15,15,3328.66666666667
Order of Battle: Pacific,2015-04-30,81,5.4,47,742253,5961,118,0,1563,12,40,Strategy,NA,11,1,0,7,0,0,15792.6170212766
World of Warships,2015-09-17,81,6.4,50,3419773,87952,750,0,8691,29,145,Action,T,27,2,0,15,4,4,68395.46
The Book of Unwritten Tales 2,2015-02-20,80,7.6,49,1546647,17096,561,0,2376,39,78,Adventure,T,34,4,1,11,1,1,31564.2244897959
Lovers in a Dangerous Spacetime,2015-09-09,80,6.7,50,892023,12351,207,0,1683,16,21,Action,NA,15,1,0,1,0,0,17840.46
Westerado: Double Barreled,2015-04-16,80,7.3,50,2104860,50180,1005,0,28147,18,30,Action,NA,15,3,0,5,1,1,42097.2
Volume,2015-08-18,80,7.3,49,1614635,14643,1340,0,5644,34,52,Action,T,29,5,0,5,1,1,32951.7346938776
Age of Wonders III - Eternal Lords,2015-04-14,80,8.4,2,8236759,6299,1830,0,1452,10,109,Strategy,NA,9,1,0,21,0,0,4118379.5
Dariusburst: Chronicle Saviours,2015-12-03,80,8.4,50,1279373,21608,307,0,2097,9,12,Action,NA,7,2,0,1,0,0,25587.46
Grandia II Anniversary Edition,2015-08-24,80,7.9,32,616397,6323,122,0,585,8,21,Role-Playing,T,6,2,0,2,0,0,19262.40625
Dropsy,2015-09-10,80,7.1,49,1797925,35693,919,0,6978,28,41,Adventure,NA,23,5,0,6,0,0,36692.3469387755
Company of Heroes 2: The British Forces,2015-09-03,80,5.9,49,1169268,27740,310,0,2785,14,51,Strategy,M,13,1,0,6,1,1,23862.612244898
Read Only Memories,2015-10-05,80,6,48,2297638,21718,465,0,2400,11,36,General,NA,8,3,0,7,0,0,47867.4583333333
Life is Strange: Episode 3 - Chaos Theory,2015-05-19,80,9,47,5108588,112625,1903,0,30394,8,207,Action Adventure,M,6,2,0,10,1,1,108693.361702128
The Legend of Heroes: Trails in the Sky SC,2015-10-29,80,8.6,50,5179701,125505,6151,0,23669,7,71,Console-style RPG,RP,6,1,0,4,0,0,103594.02
Total War: Attila,2015-02-17,80,7.3,10,30222,459,2,0,77,66,530,Strategy,T,52,14,0,78,17,17,3022.2
The Magic Circle,2015-07-09,79,7.4,37,163692,2873,203,0,976,18,27,Adventure,NA,14,4,0,3,3,3,4424.10810810811
Stasis,2015-08-31,79,7.7,29,122302,1290,20,0,492,31,108,Miscellaneous,NA,23,8,0,11,5,5,4217.31034482759
Warhammer: End Times - Vermintide,2015-10-23,79,7.9,40,1688202,53994,773,0,2215,39,242,Action,M,30,9,0,37,10,10,42205.05
Else Heart.Break(),2015-09-24,79,7.7,49,6308558,85295,1871,0,16839,10,9,Role-Playing,NA,6,4,0,1,0,0,128746.081632653
Cities: Skylines - After Dark,2015-09-24,79,7.8,44,438883,13842,180,0,2349,15,76,Strategy,NA,9,6,0,5,2,2,9974.61363636364
Jotun,2015-09-29,79,7.2,49,1409556,30554,332,0,3016,28,43,Action,NA,23,5,0,3,0,0,28766.4489795918
The Incredible Adventures of Van Helsing: Final Cut,2015-10-07,79,7.4,42,1829604,21677,1573,0,7043,10,33,Role-Playing,NA,8,2,0,3,1,1,43562
Sid Meier's Civilization: Beyond Earth - Rising Tide,2015-10-09,79,6,50,2878289,43759,784,0,7006,39,120,Strategy,E10+,29,10,0,11,2,2,57565.78
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,2015-08-18,79,8.4,32,165423,2010,86,0,571,27,113,Adventure,M,18,9,0,6,1,1,5169.46875
Frozen Cortex,2015-02-19,79,6.5,39,208755,3290,84,0,583,11,29,General,NA,8,3,0,3,0,0,5352.69230769231
Tom Clancy's Rainbow Six Siege,2015-12-01,79,6.9,50,4658011,147446,4366,0,53845,37,775,Modern,M,29,8,0,114,37,37,93160.22
Apotheon,2015-02-03,78,7.8,44,16747,506,22,0,170,30,182,Action,T,22,8,0,19,5,5,380.613636363636
Human Resource Machine,2015-10-15,78,8,47,133139,3159,90,0,454,12,26,Puzzle,NA,11,1,0,6,2,2,2832.74468085106
Mushroom 11,2015-10-15,78,6.9,39,3365900,37213,743,0,3975,20,16,Action,NA,15,4,1,2,0,0,86305.1282051282
Hand of Fate,2015-02-17,78,7.9,40,55344,619,47,0,366,28,161,Role-Playing,T,16,12,0,18,10,10,1383.6
Avernum 2: Crystal Souls,2015-01-14,78,8.2,42,87614,818,40,0,267,8,19,PC-style RPG,NA,NA,NA,NA,NA,NA,NA,2086.04761904762
Galak-Z: The Dimensional,2015-10-29,78,6.3,50,199064,1544,59,0,619,7,8,Action,NA,6,1,0,0,1,1,3981.28
AR-K Episode 3: The Great Escape,2015-07-14,78,8.2,11,21951,238,6,0,84,9,41,Adventure,NA,8,1,0,4,2,2,1995.54545454545
Tales From The Borderlands: Episode 2 - Atlas Mugged,2015-03-17,78,8.6,42,652793,13244,265,0,2507,38,138,Adventure,M,29,9,0,11,4,4,15542.6904761905
Deathtrap,2015-02-04,77,7.9,8,48752,1114,25,0,122,26,62,Strategy,T,20,6,0,10,4,4,6094
Republique: Episode 1 - Exordium,2015-02-25,77,7.4,50,300215,7804,160,0,1290,26,65,Action Adventure,NA,19,7,0,4,0,0,6004.3
Life is Strange: Episode 1 - Chrysalis,2015-01-30,77,8.5,22,32822,1431,19,0,419,28,404,Action Adventure,M,19,9,0,32,17,17,1491.90909090909
Life is Strange: Episode 2 - Out of Time,2015-03-24,77,8.7,35,117101,2331,45,0,701,12,204,Action Adventure,M,7,5,0,9,2,2,3345.74285714286
Game of Thrones: Episode Three - The Sword in the Darkness,2015-03-24,77,7.8,50,3231921,74326,1338,0,28699,30,103,Action,M,24,6,0,4,2,2,64638.42
Magic Duels: Origins,2015-07-29,77,6,48,865687,12769,713,0,3650,12,55,Strategy,NA,6,6,0,6,3,3,18035.1458333333
Dragon Age: Inquisition - Trespasser,2015-09-09,77,7.6,45,38187,560,22,0,142,7,81,Role-Playing,NA,5,2,0,5,1,1,848.6
Evolve,2015-02-09,77,4.3,25,93082,2648,19,0,299,39,973,Action,M,25,14,0,105,47,47,3723.28
Grey Goo,2015-01-23,77,7.6,43,154738,1289,37,0,391,45,185,Strategy,T,34,10,1,25,14,14,3598.55813953488
Aviary Attorney,2015-12-18,77,7.4,40,2580790,27284,645,0,6560,15,14,Adventure,NA,10,4,1,1,0,0,64519.75
Three Fourths Home,2015-03-20,77,5.5,39,5057882,134801,4774,0,20542,8,16,Adventure,NA,5,3,0,0,1,1,129689.282051282
Out of the Park Baseball 17,2016-03-22,92,3.5,50,413648,9823,75,0,927,8,206,Sports,NA,8,0,0,19,5,5,8272.96
The Witcher 3: Wild Hunt - Blood and Wine,2016-05-30,92,9.1,50,563704,13776,262,0,4182,50,1842,Role-Playing,M,50,0,0,140,6,6,11274.08
Overwatch,2016-05-23,91,6.8,50,1224928,24123,379,0,5922,62,4208,General,T,60,2,0,465,179,179,24498.56
Stephen's Sausage Roll,2016-04-18,90,5.6,32,4885344,37344,1223,0,4215,9,75,Puzzle,NA,9,0,0,4,0,0,152667
Kentucky Route Zero - Act IV,2016-07-20,90,6,41,452956,4027,129,0,1041,8,36,Adventure,NA,8,0,0,2,0,0,11047.7073170732
Dark Souls III,2016-04-11,89,8.6,48,82990,609,29,0,176,56,1902,Role-Playing,M,54,2,0,125,31,31,1728.95833333333
Stardew Valley,2016-02-26,88,8.6,50,208770,1337,34,0,502,29,526,Role-Playing,NA,28,1,0,75,5,5,4175.4
Owlboy,2016-11-01,88,7.1,32,19532,520,18,0,211,46,182,Action Adventure,NA,44,2,0,14,10,10,610.375
Ori and the Blind Forest: Definitive Edition,2016-04-27,88,8.7,49,601414,8941,814,0,3003,8,142,Action,E,8,0,0,22,0,0,12273.7551020408
XCOM 2,2016-02-05,88,7.1,46,37956,991,12,0,293,104,1261,Strategy,T,97,6,1,180,77,77,825.130434782609
Sid Meier's Civilization VI,2016-10-21,88,7.2,47,2072243,49421,388,0,6150,84,759,Strategy,E10+,79,4,1,78,51,51,44090.2765957447
Battlefield 1,2016-10-21,88,7.5,50,4497646,100686,2244,0,30328,54,1318,General,M,52,2,0,131,61,61,89952.92
World of Warcraft: Legion,2016-08-30,88,7.3,45,231958,1478,37,0,520,62,580,Role-Playing,T,61,1,0,61,21,21,5154.62222222222
The Witness,2016-01-26,87,6.6,50,2842946,20630,345,0,5529,20,403,Miscellaneous,E,17,3,0,44,16,16,56858.92
INSIDE,2016-07-07,87,8.5,14,111036,1003,43,0,237,22,412,Action,M,20,2,0,49,15,15,7931.14285714286
Hex: Shards of Fate,2016-01-26,87,6.4,38,23086,758,8,0,227,7,103,Miscellaneous,NA,7,0,0,29,5,5,607.526315789474
Forza Horizon 3,2016-09-27,86,6.2,49,385039,8911,269,0,1068,12,211,Racing,E,12,0,0,31,5,5,7857.9387755102
Rise of the Tomb Raider,2016-01-28,86,7.9,8,23912,319,28,0,65,45,960,Action Adventure,M,44,1,0,97,31,31,2989
Total War: WARHAMMER,2016-05-24,86,7.3,50,752026,36709,247,0,2223,77,575,Strategy,T,72,5,0,90,22,22,15040.52
Dishonored 2,2016-11-10,86,6.2,49,204231,6983,98,0,1230,40,433,Action Adventure,M,35,5,0,36,9,9,4167.97959183673
Chime Sharp,2016-07-19,86,7.8,43,293943,1403,104,0,184,8,6,Puzzle,NA,7,1,0,2,0,0,6835.88372093023
F1 2016,2016-08-19,86,8,31,414036,4661,189,0,659,12,46,Racing,E,12,0,0,3,1,1,13356
Pony Island,2016-01-04,86,7.1,50,1798852,39473,825,0,15228,29,178,Puzzle,NA,28,1,0,17,9,9,35977.04
Gears of War 4,2016-10-11,86,6.8,34,192474,4203,59,0,309,22,261,Action,M,20,2,0,20,4,4,5661
Titanfall 2,2016-10-28,86,8.1,50,56116,1444,48,0,359,30,555,Action,M,25,5,0,109,21,21,1122.32
Day of the Tentacle Remastered,2016-03-21,86,7.9,50,14214719,366592,4100,0,29292,37,112,Adventure,NA,35,2,0,16,1,1,284294.38
Hearthstone: Whispers of the Old Gods,2016-04-26,85,5.5,27,5954,124,5,0,65,8,90,Strategy,NA,7,1,0,5,0,0,220.518518518519
Thumper,2016-10-10,85,7.6,13,38521,1795,54,0,280,9,17,Action,NA,8,1,0,3,1,1,2963.15384615385
Candle,2016-11-11,85,7.7,34,5144329,33050,953,0,5320,14,63,Action,RP,13,1,0,6,0,0,151303.794117647
DOOM,2016-05-13,85,8.3,46,266713,3022,65,0,1062,44,1891,Sci-Fi,M,41,3,0,342,36,36,5798.10869565217
Shadow Tactics: Blades of the Shogun,2016-12-06,84,8.1,19,14201,206,7,0,90,37,163,Strategy,NA,36,1,0,23,1,1,747.421052631579
Darkest Dungeon,2016-01-19,84,7.8,50,114541,1717,46,0,323,55,382,Role-Playing,NA,52,3,0,54,14,14,2290.82
The Last Door: Season 2,2016-03-29,84,6.6,7,1947997,9147,808,0,2720,7,14,Adventure,NA,7,0,0,1,0,0,278285.285714286
Planet Coaster,2016-11-17,84,7,50,2171418,47539,844,0,13492,55,290,Strategy,E,54,1,0,60,5,5,43428.36
Enter the Gungeon,2016-04-05,84,7.6,32,38020,478,23,0,167,26,153,Action,NA,25,1,0,14,4,4,1188.125
Hitman - Episode 2: Sapienza,2016-04-26,84,5.8,50,119751,1818,98,0,557,7,81,Action Adventure,NA,6,1,0,10,0,0,2395.02
Final Fantasy IX,2016-04-14,84,8.3,50,1963187,28957,584,0,5376,7,80,Role-Playing,NA,7,0,0,6,0,0,39263.74
Hyper Light Drifter,2016-03-31,84,8.2,50,1821412,22345,523,0,4097,46,222,Role-Playing,NA,42,4,0,34,6,6,36428.24
FIFA 17,2016-09-27,84,4.2,50,552497,5699,277,0,1331,12,208,Sports,E,11,1,0,6,6,6,11049.94
Hitman,2016-10-31,84,7.4,41,34769,893,34,0,445,19,45,Modern,M,17,2,0,6,0,0,848.024390243902
SpeedRunners,2016-04-19,84,8.2,47,129396,934,81,0,204,11,46,Action,NA,11,0,0,8,0,0,2753.10638297872
Grim Dawn,2016-02-25,83,8.4,46,1742079,6850,158,0,4336,29,519,Role-Playing,NA,29,0,0,86,20,20,37871.2826086957
Final Fantasy X / X-2 HD Remaster,2016-05-12,83,8.4,28,5415968,58186,1851,0,11867,8,70,Miscellaneous,T,7,1,0,7,2,2,193427.428571429
Hearts of Iron IV,2016-06-06,83,6.9,46,794842,14373,287,0,231,36,315,Historic,NA,33,3,0,24,10,10,17279.1739130435
Devil Daggers,2016-02-18,83,7.1,49,684642,16372,153,0,2642,20,51,Action,NA,18,2,0,9,1,1,13972.2857142857
Danganronpa: Trigger Happy Havoc,2016-02-18,83,8.1,3,1000,15,0,0,13,9,66,Adventure,NA,9,0,0,5,3,3,333.333333333333
Deus Ex: Mankind Divided,2016-08-23,83,6.1,7,778,1,0,0,5,56,760,Action Adventure,M,48,8,0,79,37,37,111.142857142857
ABZU,2016-08-02,83,6.5,49,8069559,142426,6103,0,40063,19,125,Action Adventure,E,16,3,0,14,6,6,164684.87755102
Duskers,2016-05-18,83,6.9,49,1190371,13297,531,0,1843,10,12,Strategy,NA,9,1,0,2,1,1,24293.2857142857
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,2016-12-20,83,7,8,60260,874,52,0,155,33,128,Action,NA,29,4,0,7,6,6,7532.5
The Banner Saga 2,2016-04-19,82,8.1,46,78241,982,23,0,163,60,101,Role-Playing,NA,51,9,0,12,3,3,1700.89130434783
SUPERHOT,2016-02-25,82,7.4,23,569078,9320,264,0,2051,93,349,Modern,T,77,16,0,36,24,24,24742.5217391304
VIDEOBALL,2016-07-12,82,NA,48,3410859,98526,1664,0,26742,8,NA,Sports,NA,7,1,0,1,0,0,71059.5625
Duelyst,2016-05-03,82,8.1,44,278276,6519,212,0,1217,14,45,Fantasy,NA,12,2,0,8,1,1,6324.45454545455
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,2016-12-20,82,7.4,50,1497543,19903,529,0,2797,31,57,Action,NA,27,4,0,6,4,4,29950.86
Starbound,2016-07-22,81,7.1,50,847276,13593,203,0,2892,21,342,Action Adventure,NA,18,3,0,45,30,30,16945.52
Quadrilateral Cowboy,2016-07-25,81,7.5,44,1349846,24550,579,0,3007,30,21,Simulation,NA,29,0,1,2,1,1,30678.3181818182
Unravel,2016-02-09,81,8,50,5283301,69430,2074,0,16776,12,122,Action,E,10,2,0,9,1,1,105666.02
SteamWorld Heist,2016-06-07,81,7.8,42,3730166,29150,399,0,5992,8,33,Strategy,NA,7,1,0,7,0,0,88813.4761904762
Firewatch,2016-02-09,81,7.3,18,98532,1566,288,0,317,65,818,General,NA,51,14,0,87,58,58,5474
Zombie Night Terror,2016-07-20,81,7.9,20,5125858,20609,1126,0,6479,21,27,Puzzle,NA,17,4,0,5,1,1,256292.9
Dragon's Dogma: Dark Arisen,2016-01-15,81,8.2,37,48649,379,10,0,243,62,383,Role-Playing,M,54,8,0,52,9,9,1314.83783783784
