game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views
Gone Home,2013-08-15,86,5.4,41,212577,1058,11,0,141,56,2039,Adventure,NA,49,7,0,302,165,165,5184.80487804878
Pac-Man Championship Edition DX +,2013-09-24,86,7.3,32,488560,4759,132,0,1144,7,76,Action,E,7,0,0,10,3,3,15267.5
Out of the Park Baseball 14,2013-04-15,86,8.5,17,48263,497,87,0,373,8,62,Sports,NA,7,1,0,25,2,2,2839
Saints Row IV,2013-08-19,86,7.4,50,666224,4397,122,0,1519,45,1555,Action Adventure,M,42,3,0,190,79,79,13324.48
Starcraft II: Heart of the Swarm,2013-03-12,86,7.9,50,130491362,204720,57520,0,21819,68,1353,Strategy,T,66,1,1,168,58,58,2609827.24
Tomb Raider,2013-03-04,86,8.5,6,2746277,69696,2401,0,8236,18,3582,Action Adventure,M,17,1,0,521,116,116,457712.833333333
XCOM: Enemy Within,2013-11-12,86,8,49,17456963,213630,4862,0,57256,54,695,Turn-Based Strategy,M,52,2,0,74,20,20,356264.551020408
Path of Exile,2013-01-25,86,8,37,44081,1044,24,0,413,27,1518,Role-Playing,NA,25,2,0,267,45,45,1191.37837837838
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,2013-02-26,85,8.2,8,20515,329,10,0,110,23,161,Action,T,23,0,0,19,7,7,2564.375
Dust: An Elysian Tail,2013-05-24,85,8.4,50,142897,3587,71,0,67,7,460,Role-Playing,E10+,7,0,0,92,8,8,2857.94
DmC: Devil May Cry,2013-01-24,85,6.8,24,1089044,9439,161,0,1577,22,1694,Action,M,22,0,0,190,60,60,45376.8333333333
The Wolf Among Us: Episode 1 - Faith,2013-10-11,85,9,47,1106731,10469,392,0,5711,45,765,Action Adventure,M,43,2,0,96,6,6,23547.4680851064
Rogue Legacy,2013-06-27,85,7.9,18,95516579,326851,13268,0,41881,43,589,Role-Playing,NA,42,1,0,77,33,33,5306476.61111111
Football Manager 2014,2013-10-30,85,5.5,50,609099,15749,291,0,605,41,277,Sports,E,40,1,0,19,10,10,12181.98
Sid Meier's Civilization V: Brave New World,2013-07-08,85,8.6,47,313556,9575,184,0,2236,55,636,Strategy,E10+,52,2,1,74,13,13,6671.40425531915
Trials Evolution: Gold Edition,2013-03-21,85,6.7,49,39148,493,19,0,137,10,126,Driving,E10+,10,0,0,14,4,4,798.938775510204
"Papers, Please",2013-08-08,85,8.5,2,77,4,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5
Mass Effect 3: Citadel,2013-03-05,84,7.9,30,19679,287,11,0,130,8,349,Role-Playing,M,7,1,0,32,6,6,655.966666666667
Assassin's Creed IV: Black Flag,2013-11-19,84,7.7,34,2630198,44135,1035,0,14321,10,1485,Action Adventure,M,8,2,0,177,50,50,77358.7647058823
Gunpoint,2013-06-03,83,8.3,32,947344,6717,266,0,1132,33,374,Miscellaneous,NA,31,2,0,92,17,17,29604.5
Final Fantasy XIV Online: A Realm Reborn,2013-08-27,83,6.8,49,1085289,14725,261,0,1664,32,1288,Role-Playing,T,29,3,0,280,50,50,22148.7551020408
Card Hunter (2013),2013-09-12,83,7.9,47,521604,9028,133,0,3398,18,59,Strategy,NA,17,1,0,11,3,3,11097.9574468085
